sex,race,degree,relig,polparty,cappun,tvhours,owngun,gunlaw,age,chldidel
Male,White,HighSchool,Other,Independent,Oppose,5,No,Favor,30,3
Male,White,HighSchool,Protestant,Democrat,Favor,4,Yes,Favor,43,2
Male,Other,NotHs,Other,Other,Favor,12,No,Favor,61,2
Female,White,Graduate,Protestant,Republican,Favor,3,No,Favor,73,3
Male,White,HighSchool,Protestant,Republican,Favor,0,Yes,Favor,37,5
Male,White,NotHs,Protestant,Democrat,Favor,3,Yes,Favor,72,3
Male,White,HighSchool,Other,Independent,Oppose,2,Yes,Favor,27,2
Male,White,HighSchool,Other,Republican,Favor,2,Yes,Favor,23,1
Male,White,HighSchool,Catholic,Independent,Favor,3,No,Favor,34,2
Male,White,Graduate,Protestant,Republican,Favor,3,Yes,Oppose,76,5
Female,White,HighSchool,Catholic,Democrat,Favor,5,No,Favor,75,2
Female,White,HighSchool,Catholic,Democrat,Oppose,2,Yes,Favor,67,2
Male,White,HighSchool,Catholic,Democrat,Favor,3,Yes,Oppose,41,2
Female,White,HighSchool,Other,Independent,Favor,3,No,Favor,59,3
Female,White,HighSchool,Other,Democrat,Oppose,4,No,Favor,88,3
Male,White,Graduate,Protestant,Democrat,Oppose,0,No,Favor,48,3
Female,White,HighSchool,Catholic,Democrat,Favor,4,No,Favor,25,3
Male,Other,HighSchool,Other,Democrat,Oppose,0,Yes,Favor,43,3
Female,White,HighSchool,Catholic,Democrat,Oppose,6,Yes,Favor,33,3
Female,White,HighSchool,Other,Independent,Oppose,5,No,Favor,23,3
Male,White,Bachelor,Other,Republican,Favor,3,Yes,Favor,55,0
Female,White,NotHs,Protestant,Independent,Favor,5,No,Favor,84,2
Female,White,HighSchool,Catholic,Democrat,Favor,3,No,Favor,67,2
Female,White,JunColl,Protestant,Republican,Favor,1,Yes,Favor,57,2
Male,White,HighSchool,Other,Independent,Favor,4,Yes,Oppose,39,1
Male,White,Bachelor,Protestant,Democrat,Oppose,0,No,Favor,53,1
