sex,race,degree,relig,polparty,cappun,tvhours,owngun,gunlaw,age,chldidel
Female,White,Bachelor,Catholic,Democrat,Oppose,3,No,Favor,65,2
Male,White,NotHs,Catholic,Democrat,Favor,1,Yes,Favor,69,3
Male,White,HighSchool,Protestant,Democrat,Favor,3,No,Favor,25,2
Male,Other,Graduate,Other,Independent,Favor,2,No,Favor,51,3
Male,White,JunColl,Other,Democrat,Favor,2,No,Favor,47,2
Female,White,HighSchool,Protestant,Republican,Favor,10,No,Favor,77,1
Female,White,HighSchool,Catholic,Republican,Favor,2,No,Favor,31,2
Male,White,HighSchool,Protestant,Independent,Favor,2,Yes,Favor,46,2
Male,White,HighSchool,Protestant,Independent,Favor,3,Yes,Oppose,55,2
Female,White,HighSchool,Protestant,Independent,Favor,4,No,Favor,30,3
Male,White,Graduate,Other,Independent,Favor,3,Yes,Oppose,40,2
Female,White,HighSchool,Other,Independent,Favor,1,No,Favor,30,2
Female,White,NotHs,Other,Independent,Favor,2,Yes,Oppose,28,3
Male,AfrAm,NotHs,Protestant,Independent,Favor,2,No,Favor,20,2
Male,White,HighSchool,Protestant,Republican,Favor,2,Yes,Oppose,42,2
Male,White,HighSchool,Protestant,Independent,Favor,5,Yes,Favor,71,2
Male,White,HighSchool,Protestant,Independent,Favor,3,Yes,Favor,38,2
Male,AfrAm,HighSchool,Protestant,Independent,Favor,2,Yes,Oppose,42,2
Female,White,HighSchool,Protestant,Democrat,Favor,6,No,Favor,37,3
Female,White,NotHs,Protestant,Democrat,Oppose,2,Yes,Favor,87,2
Male,White,HighSchool,Protestant,Republican,Favor,1,Yes,Favor,52,2
Male,White,JunColl,Protestant,Democrat,Favor,2,No,Oppose,32,2
Female,White,NotHs,Protestant,Independent,Oppose,0,No,Favor,28,2
Female,White,NotHs,Protestant,Independent,Oppose,1,Yes,Favor,75,4
Male,White,HighSchool,Protestant,Republican,Favor,6,Yes,Favor,66,2
Female,White,Bachelor,Protestant,Republican,Favor,2,No,Favor,85,3
Female,White,HighSchool,Protestant,Republican,Favor,1,Yes,Favor,20,3
Male,AfrAm,HighSchool,Catholic,Democrat,Favor,2,No,Favor,31,2
